"field"	"label"	"value"
"Id"	"Record ID"	"id"
"OwnerId"	"Owner ID"	"Lookup(Group)"
"IsDeleted"	"Deleted"	"boolean"
"Name"	"Internal Part ID"	"string"
"RecordTypeId"	"Record Type ID"	"Lookup(RecordType)"
"CreatedDate"	"Created Date"	"datetime"
"CreatedById"	"Created By ID"	"Lookup(User)"
"LastModifiedDate"	"Last Modified Date"	"datetime"
"LastModifiedById"	"Last Modified By ID"	"Lookup(User)"
"SystemModstamp"	"System Modstamp"	"datetime"
"LastActivityDate"	"Last Activity Date"	"date"
"LastViewedDate"	"Last Viewed Date"	"datetime"
"LastReferencedDate"	"Last Referenced Date"	"datetime"
"specright__Additive2__c"	"Additive"	"string"
"specright__Adhesive2__c"	"Adhesive"	"string"
"specright__Adhesive_Strength2__c"	"Adhesive Strength"	"string"
"specright__Application_Temperature__c"	"Application Temperature"	"double"
"specright__Area__c"	"Area"	"double"
"specright__Average_Quantity_per_Order__c"	"Avg. Quantity per Order"	"double"
"specright__Brimful_Capacity__c"	"Brimful Capacity"	"double"
"specright__Broker_Distributor_HQ__c"	"Broker/Distributor/HQ"	"Lookup(Account)"
"specright__Cell2__c"	"Cell"	"picklist"
"specright__Collapsable2__c"	"Collapsable"	"picklist"
"specright__Color2__c"	"Color"	"string"
"specright__Compression3__c"	"Compression"	"double"
"specright__Core_Diameter__c"	"Core Diameter (in)"	"double"
"specright__Corner_Radius__c"	"Corner Radius"	"double"
"specright__Cure_Speed2__c"	"Cure Speed"	"string"
"specright__Cutoff2__c"	"Cutoff"	"double"
"specright__Declared_Fill2__c"	"Declared Fill"	"double"
"specright__Decoration2__c"	"Decoration"	"string"
"specright__Density__c"	"Density (PCF)"	"double"
"specright__Depth2__c"	"Depth (in)"	"double"
"specright__Description2__c"	"Description"	"textarea"
"specright__Elongation_Cross_Direction__c"	"Elongation (Cross Direction)"	"percent"
"specright__Elongation_Machine_Direction__c"	"Elongation (Machine Direction)"	"percent"
"specright__Embellishments2__c"	"Embellishments"	"string"
"specright__Embossing_Debossing2__c"	"Embossing/Debossing"	"string"
"specright__Finish2__c"	"Finish"	"string"
"specright__Finished_Film_Type2__c"	"Finished Film Type"	"string"
"specright__Flute2__c"	"Flute"	"string"
"specright__Gusset2__c"	"DNU_gusset"	"double"
"specright__HQspecId__c"	"SRHQ ID"	"string"
"specright__Heat_Treated2__c"	"Heat Treated"	"picklist"
"specright__Height_Tolerance__c"	"Height Tolerance"	"string"
"specright__Height__c"	"Height (in)"	"double"
"specright__Impressions2__c"	"# Impressions"	"double"
"specright__Inside_Coatings2__c"	"Inside Coatings"	"string"
"specright__Inside_Diameter__c"	"Inside Diameter"	"double"
"specright__Inventory_UOM__c"	"Inventory UOM"	"picklist"
"specright__Last_Recorded_Inventory_Date__c"	"Last Recorded Inventory Date"	"date"
"specright__Last_View_By2__c"	"Last View By"	"string"
"specright__Length2__c"	"Length (in)"	"double"
"specright__Lids2__c"	"Lids"	"picklist"
"specright__Liner_Coatings2__c"	"Liner Coatings"	"picklist"
"specright__Lip2__c"	"DNU_lip"	"double"
